period,event,era,meaning
ancient,The Long Night,ancient history,Primordial supernatural threat remembered in world history
ancient,Rise of Valyria,ancient history,Major dragonlord civilization in Essos
ancient,Doom of Valyria,ancient history,Collapse of Valyria
c.2–1 BC/AC,Targaryen Conquest,dynastic history,Targaryen rule established across much of Westeros
c.129–131 AC,Dance of the Dragons,dynastic history,Targaryen civil conflict over succession
283 AC,Robert’s Rebellion,recent history,Targaryen rule ends; Robert Baratheon becomes king
298 AC,A Game of Thrones begins,main story,Political order enters instability
298–299 AC,A Clash of Kings,main story,Competing claims and war reshape political landscape
299–300 AC,A Storm of Swords,main story,Major turning points in the conflict
300 AC,A Feast for Crows,main story,Aftermath and regional power shifts
300 AC,A Dance with Dragons,main story,Northern and Essosi storylines continue
