id,title,type,url
S01,Martin bibliography,Primary,https://georgerrmartin.com/bibliography/
S02,Martin ASOIAF page,Primary,https://georgerrmartin.com/a-song-of-ice-and-fire/
S03,HBO Options Ice & Fire,Primary,https://georgerrmartin.com/hbo-options-ice-fire/
S04,HBO Updates,Primary,https://georgerrmartin.com/notablog/2008/12/07/hbo-updates/
S05,Martin + Bernard Cornwell interview,Primary interview,https://georgerrmartin.com/a-conversation-with-bernard-cornwell/
S06,Martin official homepage,Primary,https://georgerrmartin.com/
S07,Penguin Random House,Publisher,https://www.penguinrandomhouse.com/
S08,Television Academy: Game of Thrones,Award body,https://www.televisionacademy.com/shows/game-thrones
S09,HBO series,Official broadcaster,https://www.hbo.com/series
S10,WBD: A Knight of the Seven Kingdoms,Official broadcaster,https://press.wbd.com/us/ca/media-release/hbo-original-drama-series-knight-seven-kingdoms-debuts-january-18
S11,WBD franchise renewals,Official broadcaster,https://press.wbd.com/na/media-release/hbo-0/hbo-announces-season-renewals-two-game-thrones-franchise-series-setting-new-seasons
S12,Martin: The Mad King London,Primary,https://georgerrmartin.com/notablog/2026/09/03/the-mad-king-comes-to-london/
S13,The Mad King stage site,Official production,https://gameofthronesonstage.com/
S14,Guardian publishing story,Major journalism,https://www.theguardian.com/books/2016/aug/05/game-of-thrones-an-epic-publishing-story-george-rr-martin
S15,Forbes 2011 sales,Industry journalism,https://www.forbes.com/sites/jeffbercovici/2012/08/09/women-on-the-rise-among-the-worlds-top-earning-authors/
S16,LA Times 2019 finale,Major journalism,https://www.latimes.com/business/hollywood/la-fi-ct-got-game-of-thrones-ratings-20190520-story.html
S17,Publishers Weekly 2012,Industry,https://www.publishersweekly.com/pw/by-topic/industry-news/bookselling/article/55383-the-bestselling-books-of-2012.html
S18,Hugo 2001,Award body,https://www.thehugoawards.org/hugo-history/2001-hugo-awards/
S19,PNAS narrative study,Academic,https://pmc.ncbi.nlm.nih.gov/articles/PMC7682562/
S20,Cambridge medievalism,Academic,https://www.cambridge.org/core/books/medievalism-in-a-song-of-ice-and-fire-and-game-of-thrones/
S21,Network of Thrones,Academic/data,https://mathbeveridge.github.io/files/NetworkofThrones.pdf
S22,Client Pinterest reference,Visual reference,https://in.pinterest.com/ideas/game-of-thrones-wallpaper-4k/937901874646/
S23,Client Wikipedia ASOIAF reference,Secondary,https://en.wikipedia.org/wiki/A_Song_of_Ice_and_Fire
S24,Client Wikipedia GoT reference,Secondary,https://en.wikipedia.org/wiki/Game_of_Thrones
