date,milestone,category,people_entities
2007-01,HBO options rights,Rights,Martin; HBO; Benioff; Weiss
2008-12,HBO greenlights pilot,Production,HBO; Benioff; Weiss; Martin
2011-04-17,Season 1 premieres,Broadcast,HBO
2012,Season 2,Broadcast,HBO
2013,Season 3,Broadcast,HBO
2014,Season 4,Broadcast,HBO
2015,Season 5,Broadcast,HBO
2016,Season 6 moves beyond published novels,Divergence,HBO; Benioff; Weiss; Martin future-story guidance
2017,Season 7,Divergence,HBO
2019-05-19,Series concludes,Broadcast,HBO
